Sample Name	Protocol REF	Extract Name	Parameter Value[MS Run Group]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Pool strategy]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion Source]	Term Source REF	Term Accession Number	Parameter Value[Analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Comment[Raw Data File name]	Protocol REF	Data Transformation Name	Derived Spectral Data File	Peptide Assignment File	Protein Assignment File	Comment[Peptide Group File]	Comment[Protein Group File]	Comment[Byonic output file .mgf]	Comment[Byonic output file .mzid]
Mmus_C57-6J_LVR_VIV_C_Rep4_M19	Extraction	RR1_VIV_M19_LVR_PRT	Not Applicable			Labeling	Not Applicable			RR1_VIV_M19_LVR_130C	130C			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 11-plex	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_raw.tar.gz	170811_NASA_7313_TMT_11plex_Frac*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_processed.tar.gz	170811_NASA_7313_TMT_11plex_BB_Anova_PSMs.txt	170811_NASA_7313_TMT_11plex_BB_Anova_Proteins.txt	170811_NASA_7313_TMT_11plex_BB_Anova_PeptideGroups.txt	170811_NASA_7313_TMT_11plex_BB_Anova_ProteinGroups.txt	170811_NASA_....byspec2_20170815_Byonic.mgf	170811_NASA_....byspec2_20170815_Byonic.mzid
Mmus_C57-6J_LVR_VIV_C_Rep5_M20	Extraction	RR1_VIV_M20_LVR_PRT	Not Applicable			Labeling	Not Applicable			RR1_VIV_M20_LVR_131N	131N			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 11-plex	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_raw.tar.gz	170811_NASA_7313_TMT_11plex_Frac*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_processed.tar.gz	170811_NASA_7313_TMT_11plex_BB_Anova_PSMs.txt	170811_NASA_7313_TMT_11plex_BB_Anova_Proteins.txt	170811_NASA_7313_TMT_11plex_BB_Anova_PeptideGroups.txt	170811_NASA_7313_TMT_11plex_BB_Anova_ProteinGroups.txt	170811_NASA_....byspec2_20170815_Byonic.mgf	170811_NASA_....byspec2_20170815_Byonic.mzid
Mmus_C57-6J_LVR_FLT_I_Rep1_M21	Extraction	RR1_FLT_M21_LVR_PRT	Group C			Labeling	Not Applicable			RR1_FLT_M21_LVR_126	126			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupC_NASA_Flt_17_23_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
Mmus_C57-6J_LVR_FLT_I_Rep2_M22	Extraction	RR1_FLT_M22_LVR_PRT	Group C			Labeling	Not Applicable			RR1_FLT_M22_LVR_127N	127N			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupC_NASA_Flt_17_23_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
Mmus_C57-6J_LVR_FLT_C_Rep1_M25	Extraction	RR1_FLT_M25_LVR_PRT	Group C			Labeling	Not Applicable			RR1_FLT_M25_LVR_127C	127C			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupC_NASA_Flt_17_23_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
Mmus_C57-6J_LVR_FLT_C_Rep2_M26	Extraction	RR1_FLT_M26_LVR_PRT	Group C			Labeling	Not Applicable			RR1_FLT_M26_LVR_128N	128N			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupC_NASA_Flt_17_23_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
Mmus_C57-6J_LVR_FLT_C_Rep3_M27	Extraction	RR1_FLT_M27_LVR_PRT	Group C			Labeling	Not Applicable			RR1_FLT_M27_LVR_128C	128C			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupC_NASA_Flt_17_23_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
Mmus_C57-6J_LVR_FLT_C_Rep4_M28	Extraction	RR1_FLT_M28_LVR_PRT	Group C			Labeling	Not Applicable			RR1_FLT_M28_LVR_129N	129N			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupC_NASA_Flt_17_23_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
Mmus_C57-6J_LVR_FLT_C_Rep5_M30	Extraction	RR1_FLT_M30_LVR_PRT	Group C			Labeling	Not Applicable			RR1_FLT_M30_LVR_129C	129C			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupC_NASA_Flt_17_23_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
Mmus_C57-6J_LVR_GC_I_Rep1_M31	Extraction	RR1_GC_M31_LVR_PRT	Group B			Labeling	Not Applicable			RR1_GC_M31_LVR_126	126			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupB_NASA_GC_10_16_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
Mmus_C57-6J_LVR_GC_I_Rep2_M32	Extraction	RR1_GC_M32_LVR_PRT	Group B			Labeling	Not Applicable			RR1_GC_M32_LVR_127N	127N			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupB_NASA_GC_10_16_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
Mmus_C57-6J_LVR_GC_C_Rep1_M36	Extraction	RR1_GC_M36_LVR_PRT	Group B			Labeling	Not Applicable			RR1_GC_M36_LVR_127C	127C			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupB_NASA_GC_10_16_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
Mmus_C57-6J_LVR_GC_C_Rep2_M37	Extraction	RR1_GC_M37_LVR_PRT	Group B			Labeling	Not Applicable			RR1_GC_M37_LVR_128N	128N			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupB_NASA_GC_10_16_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
Mmus_C57-6J_LVR_GC_C_Rep3_M38	Extraction	RR1_GC_M38_LVR_PRT	Group B			Labeling	Not Applicable			RR1_GC_M38_LVR_128C	128C			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupB_NASA_GC_10_16_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
Mmus_C57-6J_LVR_GC_C_Rep4_M39	Extraction	RR1_GC_M39_LVR_PRT	Group B			Labeling	Not Applicable			RR1_GC_M39_LVR_129N	129N			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupB_NASA_GC_10_16_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
Mmus_C57-6J_LVR_GC_C_Rep5_M40	Extraction	RR1_GC_M40_LVR_PRT	Group B			Labeling	Not Applicable			RR1_GC_M40_LVR_129C	129C			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupB_NASA_GC_10_16_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
Mmus_C57-6J_LVR_BSL_C_Rep1_M4	Extraction	RR1_BSL_M4_LVR_PRT	Not Applicable			Labeling	Not Applicable			RR1_BSL_M4_LVR_126	126			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 11-plex	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_raw.tar.gz	170811_NASA_7313_TMT_11plex_Frac*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_processed.tar.gz	170811_NASA_7313_TMT_11plex_BB_Anova_PSMs.txt	170811_NASA_7313_TMT_11plex_BB_Anova_Proteins.txt	170811_NASA_7313_TMT_11plex_BB_Anova_PeptideGroups.txt	170811_NASA_7313_TMT_11plex_BB_Anova_ProteinGroups.txt	170811_NASA_....byspec2_20170815_Byonic.mgf	170811_NASA_....byspec2_20170815_Byonic.mzid
Mmus_C57-6J_LVR_BSL_C_Rep2_M5	Extraction	RR1_BSL_M5_LVR_PRT	Not Applicable			Labeling	Not Applicable			RR1_BSL_M5_LVR_127N	127N			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 11-plex	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_raw.tar.gz	170811_NASA_7313_TMT_11plex_Frac*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_processed.tar.gz	170811_NASA_7313_TMT_11plex_BB_Anova_PSMs.txt	170811_NASA_7313_TMT_11plex_BB_Anova_Proteins.txt	170811_NASA_7313_TMT_11plex_BB_Anova_PeptideGroups.txt	170811_NASA_7313_TMT_11plex_BB_Anova_ProteinGroups.txt	170811_NASA_....byspec2_20170815_Byonic.mgf	170811_NASA_....byspec2_20170815_Byonic.mzid
Mmus_C57-6J_LVR_BSL_C_Rep3_M7	Extraction	RR1_BSL_M7_LVR_PRT	Not Applicable			Labeling	Not Applicable			RR1_BSL_M7_LVR_127C	127C			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 11-plex	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_raw.tar.gz	170811_NASA_7313_TMT_11plex_Frac*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_processed.tar.gz	170811_NASA_7313_TMT_11plex_BB_Anova_PSMs.txt	170811_NASA_7313_TMT_11plex_BB_Anova_Proteins.txt	170811_NASA_7313_TMT_11plex_BB_Anova_PeptideGroups.txt	170811_NASA_7313_TMT_11plex_BB_Anova_ProteinGroups.txt	170811_NASA_....byspec2_20170815_Byonic.mgf	170811_NASA_....byspec2_20170815_Byonic.mzid
Mmus_C57-6J_LVR_BSL_C_Rep4_M8	Extraction	RR1_BSL_M8_LVR_PRT	Not Applicable			Labeling	Not Applicable			RR1_BSL_M8_LVR_128N	128N			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 11-plex	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_raw.tar.gz	170811_NASA_7313_TMT_11plex_Frac*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_processed.tar.gz	170811_NASA_7313_TMT_11plex_BB_Anova_PSMs.txt	170811_NASA_7313_TMT_11plex_BB_Anova_Proteins.txt	170811_NASA_7313_TMT_11plex_BB_Anova_PeptideGroups.txt	170811_NASA_7313_TMT_11plex_BB_Anova_ProteinGroups.txt	170811_NASA_....byspec2_20170815_Byonic.mgf	170811_NASA_....byspec2_20170815_Byonic.mzid
Mmus_C57-6J_LVR_BSL_C_Rep5_M10	Extraction	RR1_BSL_M10_LVR_PRT	Not Applicable			Labeling	Not Applicable			RR1_BSL_M10_LVR_128C	128C			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 11-plex	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_raw.tar.gz	170811_NASA_7313_TMT_11plex_Frac*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_processed.tar.gz	170811_NASA_7313_TMT_11plex_BB_Anova_PSMs.txt	170811_NASA_7313_TMT_11plex_BB_Anova_Proteins.txt	170811_NASA_7313_TMT_11plex_BB_Anova_PeptideGroups.txt	170811_NASA_7313_TMT_11plex_BB_Anova_ProteinGroups.txt	170811_NASA_....byspec2_20170815_Byonic.mgf	170811_NASA_....byspec2_20170815_Byonic.mzid
