Sample Name	Protocol REF	Parameter Value[Preservation]	Parameter Value[Fixation Chemical]	Parameter Value[Section Thickness]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Parameter Value[Image File]	Parameter Value[Submitted Results File]	Protocol REF	Parameter Value[Transformed Reusable Files]
Mmus_C57-6J_LVR_GC_I_Rep1_M31	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M31-M32_ORO.ome.tiff, LSDS-2_Histology_M31-M32_ORO.jpg, LSDS-2_Histology_M31-M32_HE.ome.tiff, LSDS-2_Histology_M31-M32_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_GC_I_Rep2_M32	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M31-M32_ORO.ome.tiff, LSDS-2_Histology_M31-M32_ORO.jpg, LSDS-2_Histology_M31-M32_HE.ome.tiff, LSDS-2_Histology_M31-M32_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_GC_C_Rep1_M36	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M36-M37-M38_ORO.ome.tiff, LSDS-2_Histology_M36-M37-M38_ORO.jpg, LSDS-2_Histology_M36-M37-M38_HE.ome.tiff, LSDS-2_Histology_M36-M37-M38_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_GC_C_Rep2_M37	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M36-M37-M38_ORO.ome.tiff, LSDS-2_Histology_M36-M37-M38_ORO.jpg, LSDS-2_Histology_M36-M37-M38_HE.ome.tiff, LSDS-2_Histology_M36-M37-M38_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_GC_C_Rep3_M38	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M36-M37-M38_ORO.ome.tiff, LSDS-2_Histology_M36-M37-M38_ORO.jpg, LSDS-2_Histology_M36-M37-M38_HE.ome.tiff, LSDS-2_Histology_M36-M37-M38_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_GC_C_Rep4_M39	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M39-M40_ORO.ome.tiff, LSDS-2_Histology_M39-M40_ORO.jpg, LSDS-2_Histology_M39-M40_HE.ome.tiff, LSDS-2_Histology_M39-M40_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_GC_C_Rep5_M40	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M39-M40_ORO.ome.tiff, LSDS-2_Histology_M39-M40_ORO.jpg, LSDS-2_Histology_M39-M40_HE.ome.tiff, LSDS-2_Histology_M39-M40_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_FLT_I_Rep1_M21	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M21-M22_ORO.ome.tiff, LSDS-2_Histology_M21-M22_ORO.jpg, LSDS-2_Histology_M21-M22_HE.ome.tiff, LSDS-2_Histology_M21-M22_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_FLT_I_Rep2_M22	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M21-M22_ORO.ome.tiff, LSDS-2_Histology_M21-M22_ORO.jpg, LSDS-2_Histology_M21-M22_HE.ome.tiff, LSDS-2_Histology_M21-M22_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_FLT_C_Rep1_M25	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M25-M26-M27_ORO.ome.tiff, LSDS-2_Histology_M25-M26-M27_ORO.jpg, LSDS-2_Histology_M25-M26-M27_HE.ome.tiff, LSDS-2_Histology_M25-M26-M27_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_FLT_C_Rep2_M26	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M25-M26-M27_ORO.ome.tiff, LSDS-2_Histology_M25-M26-M27_ORO.jpg, LSDS-2_Histology_M25-M26-M27_HE.ome.tiff, LSDS-2_Histology_M25-M26-M27_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_FLT_C_Rep3_M27	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M25-M26-M27_ORO.ome.tiff, LSDS-2_Histology_M25-M26-M27_ORO.jpg, LSDS-2_Histology_M25-M26-M27_HE.ome.tiff, LSDS-2_Histology_M25-M26-M27_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_FLT_C_Rep4_M28	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M28-M30_ORO.ome.tiff, LSDS-2_Histology_M28-M30_ORO.jpg, LSDS-2_Histology_M28-M30_HE.ome.tiff, LSDS-2_Histology_M28-M30_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_FLT_C_Rep5_M30	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M28-M30_ORO.ome.tiff, LSDS-2_Histology_M28-M30_ORO.jpg, LSDS-2_Histology_M28-M30_HE.ome.tiff, LSDS-2_Histology_M28-M30_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
